best_recall,best_epoch,final_loss,recall@10,precision@10,f1@10,num_params,d_model,attention_type
0.49812539682540075,9,0.00035303622230645014,0.49788730158730543,0.3060666666666697,0.37655881275587383,2713075,16,euclidean
0.49788730158730543,2,0.00031470826409170274,0.49668412698412967,0.30620000000000014,0.3763606370753457,5350179,32,euclidean
0.49796984126984467,4,0.00028726454283595595,0.49668412698412967,0.30620000000000014,0.3763606370753457,10642819,64,euclidean
0.49788730158730543,1,0.0002876962733095656,0.4977761904761943,0.30600000000000305,0.3764754794225405,21301827,128,euclidean
0.49803968253968645,18,0.00029060766356040353,0.4755301587301631,0.29440000000000044,0.3612527903469105,42914755,256,euclidean
0.49788730158730543,2,0.00037560775396562943,0.49668412698412967,0.30620000000000014,0.3763606370753457,2710883,16,hyperbolic
0.49788730158730543,1,0.0003276583456889339,0.49788730158730543,0.3060666666666697,0.37655881275587383,5341699,32,hyperbolic
0.49788730158730543,2,0.00034736540512985564,0.49668412698412967,0.30620000000000014,0.3763606370753457,10609475,64,hyperbolic
0.49788730158730543,1,0.0003422691004901495,0.49788730158730543,0.3060666666666697,0.37655881275587383,21169603,128,hyperbolic
0.49788730158730543,5,0.0003219148768462904,0.4888857142857188,0.2997333333333354,0.3691200675141871,42388163,256,hyperbolic
0.49788730158730543,2,0.0003600511911216715,0.49668412698412967,0.30620000000000014,0.3763606370753457,2715686,16,adaptive
0.49788730158730543,3,0.00031987711288604766,0.49788730158730543,0.3060666666666697,0.37655881275587383,5360262,32,adaptive
0.4983952380952419,4,0.0003008462160934171,0.49668412698412967,0.30620000000000014,0.3763606370753457,10682438,64,adaptive
0.49788730158730543,2,0.0002873685142104025,0.49668412698412967,0.30620000000000014,0.3763606370753457,21458886,128,adaptive
0.49788730158730543,6,0.00028953196857758206,0.49788730158730543,0.3060666666666697,0.37655881275587383,43540166,256,adaptive
